"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
53,656730,"Megill, Trevor",774,6.8,0,0,,0,0,0,,0,18,,,2457,98.2,98.75,53,53,0,0.5999999999999943,6.57,110,157,121,149,297,329,291
52,669169,"Heasley, Jonathan",1796,2.9,0,0,,0,0,0,,0,15,,,2316,93.5,91.61,52,52,0,-1.9000000000000057,6.25,105,156,113,148,297,324,303
52,571656,"Farmer, Buck",855,6.1,0,0,,0,0,0,,0,18,,,2324,94.7,90.65,52,52,0,-4.1000000000000085,6.09,105,148,126,143,294,319,289
52,641927,"Ober, Bailey",854,6.1,0,0,,0,0,0,,0,12,,,2304,91.7,92.81,52,52,0,1.0999999999999943,7.08,108,153,114,146,299,330,298
52,622554,"Domínguez, Seranthony",823,6.3,0,0,,0,0,0,,0,23,,,2356,97.8,97.65,52,52,0,-0.20000000000000284,6.26,108,150,120,146,297,326,288
51,518553,"Cishek, Steve",1175,4.3,0,0,,0,0,0,,0,25,,,2384,89.3,91.59,51,51,0,2.299999999999997,7.69,113,156,124,148,299,317,300
51,501985,"Minor, Mike",1750,2.9,0,0,,0,0,0,,0,19,,,2471,90.5,89.48,51,51,0,-1,5.57,111,149,116,147,293,319,286
51,656354,"Davis, Austin",1118,4.6,0,0,,0,0,0,,0,16,,,2271,94.1,94.01,51,51,0,-0.09999999999999432,6.3,108,153,122,150,289,326,294
51,686752,"Pepiot, Ryan",737,6.9,0,0,,0,0,0,,0,22,,,2410,94.2,95.14,51,51,0,0.8999999999999915,6.84,109,154,121,149,293,315,294
50,676664,"Sears, JP",1079,4.6,0,0,,0,0,0,,0,20,,,2156,93.3,93.5,50,50,0,0.20000000000000284,6.42,112,154,122,148,301,324,290
50,622608,"Senzatela, Antonio",1521,3.3,0,0,,0,0,0,,0,13,,,2157,94.4,94.38,50,50,0,0,6.08,109,153,119,149,301,329,303
49,596295,"Gomber, Austin",2059,2.4,0,0,,0,0,0,,0,20,,,2157,91.6,92.02,49,49,0,0.4000000000000057,6.5,107,150,122,144,306,329,295
49,592761,"Smith, Caleb",1234,4,0,0,,0,0,0,,0,8,,,2446,91.8,90.46,49,49,0,-1.2999999999999972,5.68,111,152,123,148,300,323,296
49,667427,"Jackson, Zach",887,5.5,0,0,,0,0,0,,0,16,,,2120,94.8,93.12,49,49,0,-1.7000000000000028,5.35,111,151,118,147,296,320,294
48,666159,"Manning, Matt",990,4.8,0,0,,0,0,0,,0,18,,,2074,93.6,94.7,48,48,0,1.1000000000000085,6.89,103,158,113,145,297,332,296
48,593576,"Neris, Héctor",1012,4.7,0,0,,0,0,0,,0,16,,,2453,94.1,93.6,48,48,0,-0.5,6.2,115,153,116,147,292,319,291
48,663432,"Rainey, Tanner",521,9.2,0,0,,0,0,0,,0,16,,,2413,97,96.89,48,48,0,-0.09999999999999432,6.39,115,154,120,143,303,318,300
47,606149,"Gallegos, Giovanny",988,4.8,0,0,,0,0,0,,0,19,,,2408,94.6,93.33,47,47,0,-1.2999999999999972,5.77,109,152,113,145,294,318,296
47,670970,"Morejon, Adrian",540,8.7,0,0,,0,0,0,,0,14,,,2505,96.9,97.25,47,47,0,0.29999999999999716,6.48,117,155,119,151,299,321,299
46,606424,"García, Jarlín",1015,4.5,0,0,,0,0,0,,0,15,,,2235,94,94.35,46,46,0,0.29999999999999716,6.5,109,150,120,147,301,323,295
46,682171,"Murfee, Penn",1003,4.6,0,0,,0,0,0,,0,16,,,2282,89.2,89.41,46,46,0,0.20000000000000284,6.32,113,155,122,147,293,323,294
46,669060,"Wilson, Bryse",1825,2.5,0,0,,0,0,0,,0,22,,,2036,92.9,93.27,46,46,0,0.3999999999999915,6.51,107,150,117,150,299,324,300
46,689225,"Brieske, Beau",1287,3.6,0,0,,0,0,0,,0,13,,,2373,94.5,93.49,46,46,0,-1,5.82,112,157,114,149,304,330,297
46,656657,"Logue, Zach",1022,4.5,0,0,,0,0,0,,0,20,,,2025,90.4,89.18,46,46,0,-1.2000000000000028,5.62,110,153,120,150,298,320,292
46,657265,"Strzelecki, Peter",605,7.6,0,0,,0,0,0,,0,12,,,2409,93.6,93.83,46,46,0,0.20000000000000284,6.44,109,151,120,143,294,320,297
45,664126,"Fairbanks, Pete",352,12.8,0,0,,0,0,0,,0,23,,,2525,98.9,99.23,45,45,0,0.29999999999999716,6.62,109,158,116,152,300,324,294
45,672391,"Ort, Kaleb",529,8.5,0,0,,0,0,0,,0,12,,,2190,96.3,95.8,45,45,0,-0.5,6.11,105,154,118,150,288,328,292
45,628452,"Iglesias, Raisel",979,4.6,0,0,,0,0,0,,0,24,,,2334,95.3,94.99,45,45,0,-0.29999999999999716,6.16,118,154,120,156,297,321,298
45,622251,"Staumont, Josh",731,6.2,0,0,,0,0,0,,0,13,,,2264,96.8,97.5,45,45,0,0.7000000000000028,6.69,111,153,119,147,305,326,300
44,670950,"Richards, Trevor",1163,3.8,0,0,,0,0,0,,0,15,,,2229,93.6,93.52,44,44,0,0,6.46,109,167,123,150,293,322,297
44,669276,"Lee, Dylan",754,5.8,0,0,,0,0,0,,0,16,,,2261,92.3,92.42,44,44,0,0.10000000000000853,6.41,113,154,126,147,307,321,298
44,623451,"Stephens, Jackson",944,4.7,0,0,,0,0,0,,0,18,,,2054,94.2,93.39,44,44,0,-0.7999999999999972,5.73,111,148,116,148,305,324,302
44,663559,"Falter, Bailey",1295,3.4,0,0,,0,0,0,,0,14,,,2105,91.4,93.25,44,44,0,1.8999999999999915,7.45,104,149,114,145,304,325,285
44,642397,"Soto, Gregory",1102,4,0,0,,0,0,0,,0,17,,,2375,98.7,99.16,44,44,0,0.5,6.63,112,155,112,148,299,330,296
44,663158,"Suarez, Robert",801,5.5,0,0,,0,0,0,,0,21,,,2294,98.2,98.76,44,44,0,0.7000000000000028,6.77,114,161,119,151,301,326,302
43,669424,"Lambert, Jimmy",818,5.3,0,0,,0,0,0,,0,15,,,2231,94.9,94,43,43,0,-0.9000000000000057,5.77,110,153,113,149,296,326,300
43,547973,"Chapman, Aroldis",679,6.3,0,0,,0,0,0,,0,12,,,2372,98.2,99.52,43,43,0,1.2999999999999972,7.14,111,155,120,150,294,326,289
43,669952,"White, Mitch",1715,2.5,0,0,,0,0,0,,0,13,,,2298,93.8,93.72,43,43,0,-0.09999999999999432,6.34,113,158,121,150,298,319,297
43,621074,"Rucker, Michael",914,4.7,0,0,,0,0,0,,0,12,,,2298,95.3,88.47,43,43,0,-6.799999999999997,6.19,107,152,120,150,302,322,288
43,502179,"Espino, Paolo",1873,2.3,0,0,,0,0,0,,0,19,,,2245,88.8,89.09,43,43,0,0.29999999999999716,6.53,115,157,126,145,303,320,294
43,656529,"Hentges, Sam",944,4.6,0,0,,0,0,0,,0,14,,,2259,95.9,96.66,43,43,0,0.7999999999999972,6.7,111,150,117,147,295,314,288
43,594577,"Mayers, Mike",890,4.8,0,0,,0,0,0,,0,17,,,2308,93.7,93.39,43,43,0,-0.29999999999999716,6.17,114,156,119,152,297,322,291
43,608379,"Wacha, Michael",1949,2.2,0,0,,0,0,0,,0,18,,,2109,93.4,93.84,43,43,0,0.3999999999999915,6.63,115,166,119,153,293,328,296
42,621383,"Banks, Tanner",897,4.7,0,0,,0,0,0,,0,19,,,2315,93.2,92.56,42,42,0,-0.6000000000000085,5.78,107,150,113,147,294,326,297
42,642758,"Acevedo, Domingo",1005,4.2,0,0,,0,0,0,,0,13,,,2097,93,91.82,42,42,0,-1.2000000000000028,5.73,114,152,118,145,296,320,297
42,598287,"Ramirez, Noé",837,5,0,0,,0,0,0,,0,18,,,2190,90,89.4,42,42,0,-0.5999999999999943,6.01,111,150,127,147,303,322,296
42,672578,"Hernández, Carlos",1035,4.1,0,0,,0,0,0,,0,7,,,2398,97.2,88.25,42,42,0,-9,6.6,107,152,111,145,296,321,299
42,593958,"Rodriguez, Eduardo",1469,2.9,0,0,,0,0,0,,0,18,,,2163,91.9,91.9,42,42,0,0,6.13,110,157,119,148,301,329,294
41,622694,"Hernandez, Elieser",1095,3.7,0,0,,0,0,0,,0,14,,,2123,91.9,92.02,41,41,0,0.09999999999999432,6.6,111,161,126,152,298,316,294
41,676714,"Hughes, Brandon",973,4.2,0,0,,0,0,0,,0,17,,,2285,93.3,93.1,41,41,0,-0.20000000000000284,6.26,109,151,119,155,296,320,294
40,642121,"Sulser, Cole",619,6.5,0,0,,0,0,0,,0,9,,,2234,92.1,92.77,40,40,0,0.7000000000000028,6.75,106,153,122,148,301,321,295
39,624133,"Suárez, Ranger",2564,1.5,0,0,,0,0,0,,0,12,,,1919,93.3,93.1,39,39,0,-0.20000000000000284,6.14,106,150,123,144,301,327,288
39,663558,"Moran, Jovani",672,5.8,0,0,,0,0,0,,0,12,,,2209,93.2,93.94,39,39,0,0.7000000000000028,6.68,116,158,121,151,298,327,288
39,662253,"Muñoz, Andrés",1024,3.8,0,0,,0,0,0,,0,14,,,2290,100.2,100.42,39,39,0,0.20000000000000284,6.39,116,153,125,150,289,323,299
39,641582,"Foster, Matt",768,5.1,0,0,,0,0,0,,0,13,,,2251,93.7,93.27,39,39,0,-0.4000000000000057,6.14,104,149,113,144,296,323,296
39,686610,"Waldichuk, Ken",586,6.7,0,0,,0,0,0,,0,15,,,2367,94.4,95.34,39,39,0,0.8999999999999915,6.96,112,153,117,149,302,322,293
39,607259,"Martinez, Nick",1720,2.3,0,0,,0,0,0,,0,18,,,2355,93.8,92.86,39,39,0,-0.8999999999999915,5.88,108,160,120,152,293,323,305
38,665621,"García, Rony",885,4.3,0,0,,0,0,0,,0,16,,,2348,93.2,92.79,38,38,0,-0.4000000000000057,6.24,114,158,122,149,305,330,294
38,664139,"Gibaut, Ian",694,5.5,0,0,,0,0,0,,0,16,,,2268,95.8,91.76,38,38,0,-4,6.88,107,151,122,146,291,320,291
38,605507,"Thompson, Zach",2080,1.8,0,0,,0,0,0,,0,12,,,2390,92.5,92.5,38,38,0,0,6.19,111,152,117,149,297,325,302
38,682051,"Hill, Garrett",1019,3.7,0,0,,0,0,0,,0,17,,,2154,92.7,92.84,38,38,0,0.09999999999999432,6.36,108,158,120,146,298,331,293
38,656412,"Faedo, Alex",967,3.9,0,0,,0,0,0,,0,14,,,2225,92.9,91.98,38,38,0,-0.9000000000000057,5.85,113,157,115,149,301,329,293
38,641401,"Brogdon, Connor",710,5.4,0,0,,0,0,0,,0,16,,,2299,95.4,96.42,38,38,0,1,7.02,111,153,124,144,297,325,290
37,608328,"De Jong, Chase",1174,3.2,0,0,,0,0,0,,0,12,,,2434,92.8,92.23,37,37,0,-0.5999999999999943,6.02,109,153,117,149,299,323,296
